///SU1 Measuring Programm Ver.2.00 beta
/// Comments: empty coil.

T,K	L, mH	R,Ohm
78.20	0.26560	2.5694
78.30	0.26567	2.5707
78.50	0.26572	2.5778
78.50	0.26577	2.5796
78.60	0.26565	2.5834
78.70	0.26576	2.5904
78.80	0.26563	2.5960
78.90	0.26563	2.6002
78.90	0.26556	2.6050
79.00	0.26569	2.6093
79.10	0.26581	2.6148
79.20	0.26560	2.6184
79.20	0.26575	2.6231
79.30	0.26572	2.6272
79.40	0.26585	2.6310
79.50	0.26571	2.6358
79.50	0.26581	2.6380
79.60	0.26582	2.6433
79.70	0.26593	2.6476
79.70	0.26603	2.6513
79.80	0.26598	2.6549
79.80	0.26599	2.6604
79.90	0.26596	2.6636
80.00	0.26585	2.6607
80.00	0.26582	2.6608
80.10	0.26593	2.6620
80.10	0.26595	2.6641
80.20	0.26578	2.6684
80.30	0.26586	2.6688
80.30	0.26581	2.6751
80.40	0.26607	2.6767
80.50	0.26584	2.6806
80.60	0.26592	2.6869
80.60	0.26588	2.6929
80.70	0.26591	2.7066
80.80	0.26585	2.7134
80.90	0.26601	2.7196
81.00	0.26591	2.7342
81.10	0.26589	2.7477
81.20	0.26579	2.7550
81.30	0.26596	2.7638
81.40	0.26585	2.7719
81.70	0.26595	2.8081
81.70	0.26601	2.8093
81.90	0.26603	2.8234
82.10	0.26581	2.8447
82.40	0.26590	2.8729
82.90	0.26593	2.9005
83.30	0.26596	2.9329
83.70	0.26595	2.9658
84.10	0.26582	2.9957
84.40	0.26610	3.0302
85.00	0.26587	3.0826
84.80	0.26598	3.1520
85.80	0.26620	3.2194
86.50	0.26627	3.2800
87.10	0.26629	3.3260
87.60	0.26639	3.3658
87.90	0.26655	3.4003
88.10	0.26650	3.4419
88.40	0.26656	3.4944
89.10	0.26654	3.5535
90.70	0.26657	3.6131
93.00	0.26673	3.6653
94.40	0.26669	3.7074
95.30	0.26682	3.7439
95.90	0.26670	3.7760
96.40	0.26676	3.8015
96.80	0.26691	3.8269
97.10	0.26705	3.8478
97.30	0.26685	3.8687
97.60	0.26682	3.8859
97.80	0.26699	3.9050
98.10	0.26701	3.9226
98.30	0.26693	3.9374
98.50	0.26689	3.9554
98.70	0.26704	3.9714
98.90	0.26700	3.9874
99.10	0.26708	4.0035
99.30	0.26701	4.0194
99.50	0.26710	4.0346
99.70	0.26717	4.0518
99.90	0.26716	4.0677
100.10	0.26717	4.0842
100.60	0.26717	4.1003
100.60	0.26704	4.1161
100.80	0.26721	4.1332
101.10	0.26721	4.1515
101.30	0.26733	4.1678
101.60	0.26721	4.1887
101.80	0.26732	4.2074
102.20	0.26737	4.2275
102.50	0.26732	4.2513
102.80	0.26744	4.2726
103.10	0.26725	4.2952
103.40	0.26751	4.3185
103.70	0.26747	4.3399
104.00	0.26767	4.3627
104.30	0.26770	4.3833
104.60	0.26774	4.4053
104.90	0.26766	4.4263
105.20	0.26773	4.4458
105.40	0.26778	4.4671
105.70	0.26805	4.4863
106.00	0.26785	4.5064
106.20	0.26801	4.5278
106.50	0.26803	4.5468
106.70	0.26807	4.5663
107.00	0.26801	4.5841
107.30	0.26806	4.6035
107.50	0.26803	4.6244
107.80	0.26794	4.6437
108.00	0.26821	4.6639
108.30	0.26827	4.6821
108.60	0.26810	4.7011
108.80	0.26834	4.7221
109.10	0.26809	4.7412
109.40	0.26808	4.7610
109.60	0.26831	4.7817
109.90	0.26818	4.7992
110.10	0.26819	4.8187
110.40	0.26820	4.8397
110.70	0.26831	4.8585
110.90	0.26815	4.8787
111.20	0.26826	4.8988
111.50	0.26833	4.9197
111.70	0.26817	4.9382
112.00	0.26826	4.9586
112.30	0.26826	4.9785
112.50	0.26860	4.9992
112.80	0.26841	5.0166
113.10	0.26834	5.0369
113.30	0.26834	5.0571
113.60	0.26856	5.0771
113.90	0.26852	5.0966
114.10	0.26855	5.1162
114.40	0.26847	5.1363
114.70	0.26851	5.1561
114.90	0.26861	5.1770
115.20	0.26840	5.1957
115.50	0.26849	5.2164
115.70	0.26844	5.2349
116.00	0.26854	5.2561
116.20	0.26864	5.2744
116.50	0.26852	5.2945
116.80	0.26863	5.3160
117.00	0.26862	5.3357
117.30	0.26878	5.3535
117.60	0.26877	5.3735
117.80	0.26869	5.3949
118.10	0.26888	5.4154
118.40	0.26885	5.4350
118.60	0.26891	5.4532
118.90	0.26877	5.4723
119.20	0.26880	5.4940
119.40	0.26882	5.5130
119.70	0.26894	5.5333
120.00	0.26884	5.5525
120.20	0.26885	5.5738
120.50	0.26908	5.5928
120.80	0.26905	5.6130
121.00	0.26904	5.6320
121.30	0.26899	5.6529
121.50	0.26902	5.6714
121.80	0.26904	5.6921
122.10	0.26893	5.7116
122.40	0.26900	5.7316
122.60	0.26907	5.7524
122.90	0.26907	5.7716
123.20	0.26912	5.7905
123.40	0.26919	5.8114
123.70	0.26903	5.8289
123.90	0.26910	5.8513
