///SU1 Measuring Programm Ver.2.00 beta
/// Comments: inductivity of sample

T,K	L, mH	R,Ohm
///SU1 Measuring Programm Ver.2.00 beta
/// Comments: inductivity of sample

T,K	L, mH	R,Ohm
80.30	0.09116	2.4553
80.50	0.09103	2.4580
80.60	0.09119	2.4643
80.80	0.09110	2.4739
81.00	0.09107	2.4837
81.20	0.09111	2.4951
81.50	0.09098	2.5133
81.70	0.09125	2.5323
82.10	0.09109	2.5524
84.10	0.09124	2.6483
83.00	0.09117	2.6147
83.50	0.09113	2.6311
84.10	0.09118	2.6606
84.70	0.09127	2.6935
85.20	0.09140	2.7028
85.60	0.09121	2.7491
86.10	0.09164	2.7883
86.60	0.09180	2.8243
87.00	0.09194	2.8609
87.40	0.09200	2.8932
87.80	0.09203	2.9235
88.30	0.09206	2.9543
88.70	0.09214	2.9794
89.10	0.09227	3.0056
89.40	0.09238	3.0290
89.60	0.09233	3.0529
89.90	0.09252	3.0726
90.20	0.09259	3.0920
90.50	0.09268	3.1092
90.70	0.09265	3.1231
91.00	0.09278	3.1395
91.20	0.09297	3.1571
91.40	0.09280	3.1717
91.60	0.09297	3.1866
91.70	0.09303	3.2016
91.90	0.09309	3.2169
92.10	0.09331	3.2317
92.30	0.09351	3.2461
92.50	0.09331	3.2620
92.60	0.09340	3.2767
92.80	0.09358	3.2892
93.00	0.09354	3.3025
93.10	0.09371	3.3156
93.20	0.09386	3.3278
93.40	0.09381	3.3398
93.50	0.09416	3.3501
93.60	0.09436	3.3621
93.80	0.09424	3.3724
93.90	0.09435	3.3834
94.00	0.09451	3.3930
94.10	0.09478	3.4034
94.20	0.09469	3.4120
94.30	0.09488	3.4209
94.40	0.09496	3.4311
94.50	0.09486	3.4378
94.60	0.09504	3.4465
94.70	0.09524	3.4544
94.80	0.09543	3.4621
94.80	0.09542	3.4681
94.90	0.09557	3.4753
95.00	0.09580	3.4834
95.20	0.09577	3.4907
95.40	0.09589	3.5036
95.60	0.09601	3.5218
95.90	0.09635	3.5429
96.30	0.09678	3.5686
96.70	0.09720	3.5964
97.10	0.09788	3.6243
97.40	0.09856	3.6548
97.80	0.09934	3.6869
98.10	0.10000	3.7154
98.40	0.10086	3.7457
98.70	0.10195	3.7762
99.00	0.10313	3.8036
99.30	0.10437	3.8334
99.50	0.10585	3.8610
99.80	0.10724	3.8896
100.00	0.10862	3.9179
100.30	0.11051	3.9463
100.50	0.11220	3.9746
100.80	0.11436	4.0023
101.00	0.11643	4.0323
101.20	0.11883	4.0627
101.50	0.12146	4.0966
101.70	0.12467	4.1297
102.00	0.12812	4.1622
102.30	0.13182	4.1984
102.50	0.13587	4.2355
102.80	0.14042	4.2718
103.00	0.14548	4.3080
103.30	0.15086	4.3456
103.60	0.15675	4.3838
103.80	0.16331	4.4193
104.10	0.17026	4.4546
104.30	0.17727	4.4891
104.60	0.18523	4.5177
104.90	0.19346	4.5446
105.10	0.20231	4.5629
105.40	0.21107	4.5711
105.60	0.21960	4.5700
105.90	0.22650	4.5642
106.10	0.23178	4.5617
106.40	0.23600	4.5612
106.70	0.23943	4.5673
106.90	0.24209	4.5757
107.20	0.24454	4.5931
107.40	0.24700	4.6117
107.70	0.24967	4.6338
108.00	0.25293	4.6606
108.20	0.25637	4.6858
108.50	0.26030	4.7131
108.70	0.26387	4.7391
109.00	0.26627	4.7626
109.20	0.26730	4.7837
109.50	0.26775	4.8041
109.80	0.26800	4.8238
110.00	0.26802	4.8446
110.30	0.26811	4.8629
110.50	0.26806	4.8835
110.80	0.26816	4.9017
111.00	0.26819	4.9226
111.30	0.26807	4.9421
111.60	0.26828	4.9613
111.80	0.26833	4.9797
112.10	0.26838	5.0000
112.30	0.26833	5.0182
112.60	0.26831	5.0383
112.80	0.26831	5.0585
113.10	0.26840	5.0766
113.40	0.26853	5.0968
113.60	0.26841	5.1148
113.80	0.26846	5.1351
114.10	0.26835	5.1536
114.40	0.26856	5.1751
114.60	0.26857	5.1933
114.90	0.26852	5.2136
115.20	0.26859	5.2330
115.40	0.26852	5.2523
115.70	0.26858	5.2735
116.00	0.26848	5.2903
116.20	0.26867	5.3124
116.40	0.26852	5.3310
116.70	0.26866	5.3481
117.00	0.26862	5.3678
117.20	0.26855	5.3882
117.50	0.26869	5.4081
117.70	0.26874	5.4261
118.00	0.26854	5.4470
118.20	0.26871	5.4645
118.50	0.26864	5.4852
118.80	0.26876	5.5037
119.00	0.26871	5.5234
119.30	0.26861	5.5425
119.50	0.26879	5.5635
119.80	0.26878	5.5816
120.10	0.26875	5.6004
120.30	0.26872	5.6203
120.50	0.26873	5.6409
120.80	0.26878	5.6586
121.10	0.26871	5.6780
121.30	0.26873	5.6988
121.60	0.26883	5.7178
121.90	0.26896	5.7362
122.10	0.26884	5.7563
122.40	0.26891	5.7758
122.60	0.26906	5.7942
122.90	0.26908	5.8136
123.10	0.26917	5.8329
123.40	0.26911	5.8528
123.60	0.26907	5.8731
123.90	0.26903	5.8918
124.10	0.26907	5.9116
124.40	0.26906	5.9288
124.70	0.26897	5.9496
124.90	0.26909	5.9689
125.20	0.26900	5.9878
125.50	0.26912	6.0073
125.70	0.26906	6.0258
125.90	0.26899	6.0441
126.20	0.26919	6.0648
126.50	0.26921	6.0842
126.70	0.26913	6.1015
127.00	0.26921	6.1223
127.20	0.26913	6.1409
127.50	0.26926	6.1587
127.80	0.26924	6.1805
128.00	0.26918	6.1974
128.30	0.26924	6.2179
128.50	0.26913	6.2371
128.80	0.26926	6.2554
129.10	0.26924	6.2756
129.30	0.26926	6.2956
129.60	0.26940	6.3119
129.80	0.26943	6.3331
130.10	0.26935	6.3509
130.30	0.26942	6.3699
130.60	0.26953	6.3893
130.90	0.26945	6.4105
131.10	0.26942	6.4293
131.40	0.26931	6.4482
131.60	0.26960	6.4669
131.90	0.26957	6.4865
132.10	0.26952	6.5059
132.40	0.26937	6.5245
132.70	0.26953	6.5442
132.90	0.26945	6.5612
133.10	0.26960	6.5796
133.40	0.26956	6.5998
133.70	0.26949	6.6175
133.90	0.26966	6.6367
134.10	0.26956	6.6555
134.40	0.26948	6.6722
134.60	0.26953	6.6907
134.80	0.26965	6.7109
135.10	0.26967	6.7285
135.30	0.26961	6.7465
135.60	0.26978	6.7651
135.80	0.26977	6.7829
136.10	0.26972	6.7991
136.30	0.26971	6.8181
136.50	0.26975	6.8358
136.80	0.26977	6.8518
137.00	0.26978	6.8691
137.20	0.26966	6.8879
137.50	0.26957	6.9043
137.70	0.26993	6.9236
137.90	0.26976	6.9382
138.20	0.26979	6.9550
138.40	0.26983	6.9738
138.60	0.26965	6.9901
138.80	0.26979	7.0066
139.10	0.26986	7.0233
139.30	0.26997	7.0395
139.50	0.26997	7.0569
139.70	0.26998	7.0728
140.00	0.26992	7.0891
140.20	0.26999	7.1059
140.40	0.26988	7.1202
140.50	0.26999	7.1338
140.50	0.27002	7.1402
140.50	0.27002	7.1457
140.40	0.26990	7.1453
