///SU1 Measuring Programm Ver.2.00 beta
/// Comments: R measurements

T,K	L, mH	R,Ohm
80.10	0.00169	0.00019621
80.30	0.00169	0.00027795
80.50	0.00169	0.00029557
80.70	0.00169	0.00019036
80.80	0.00169	0.00025730
81.20	0.00169	0.00024792
81.10	0.00169	0.00023712
82.10	0.00169	0.00019926
82.50	0.00169	0.00023368
82.70	0.00169	0.00026527
83.00	0.00169	0.00028779
83.30	0.00169	0.00019954
83.60	0.00169	0.00018077
83.80	0.00168	0.00016730
84.10	0.00169	0.00016023
84.30	0.00169	0.00021997
84.50	0.00169	0.00033829
84.70	0.00169	0.00025710
85.00	0.00169	0.00023402
85.20	0.00169	0.00020500
85.30	0.00169	0.00020183
85.50	0.00169	0.00018881
85.70	0.00169	0.00022976
85.90	0.00169	0.00020873
86.20	0.00169	0.00022907
86.50	0.00169	0.00029606
86.80	0.00169	0.00030864
87.10	0.00169	0.00023003
87.30	0.00170	0.00029806
87.50	0.00169	0.00030358
87.70	0.00169	0.00023843
87.90	0.00169	0.00023321
88.20	0.00169	0.00022934
88.50	0.00169	0.00017268
88.90	0.00169	0.00026531
89.20	0.00169	0.00025677
89.50	0.00169	0.00024907
89.80	0.00169	0.00016447
90.00	0.00169	0.00032038
90.30	0.00169	0.00018646
90.50	0.00169	0.00023505
90.80	0.00169	0.00028285
91.10	0.00169	0.00025830
91.40	0.00169	0.00025478
91.60	0.00170	0.00021925
91.80	0.00169	0.00023163
92.10	0.00169	0.00023027
92.30	0.00169	0.00029754
92.50	0.00169	0.00030587
92.70	0.00169	0.00013388
93.00	0.00169	0.00032410
93.20	0.00168	0.00022798
93.50	0.00169	0.00026234
93.70	0.00169	0.000091655
94.00	0.00169	0.00029281
94.20	0.00169	0.00019869
94.50	0.00169	0.00026961
94.80	0.00169	0.00021752
95.00	0.00169	0.00018416
95.30	0.00169	0.00021993
95.50	0.00169	0.00022078
95.80	0.00169	0.00033515
96.10	0.00169	0.00023949
96.30	0.00169	0.00018204
96.60	0.00169	0.00025613
96.80	0.00169	0.00021530
97.10	0.00169	0.00017973
97.30	0.00170	0.00023698
97.60	0.00169	0.00019924
97.90	0.00169	0.00023142
98.10	0.00169	0.00022051
98.40	0.00169	0.00023745
98.60	0.00169	0.00029751
98.90	0.00169	0.00028374
99.20	0.00169	0.00035227
99.40	0.00169	0.00022211
99.70	0.00169	0.00014954
99.90	0.00168	0.00024257
100.20	0.00169	0.00020967
100.40	0.00169	0.00024654
100.70	0.00169	0.00023951
101.00	0.00169	0.00027165
101.20	0.00169	0.00024776
101.50	0.00169	0.00018423
101.70	0.00169	0.00014872
102.00	0.00169	0.00018896
102.20	0.00169	0.00024380
102.50	0.00169	0.00021879
102.80	0.00169	0.00024673
103.00	0.00169	0.00021527
103.30	0.00169	0.00036437
103.50	0.00169	0.00032362
103.80	0.00169	0.00031175
104.00	0.00169	0.00023742
104.30	0.00169	0.00029304
104.50	0.00169	0.00020658
104.80	0.00169	0.00026810
105.10	0.00168	0.00028752
105.30	0.00169	0.00032800
105.60	0.00169	0.00025206
105.80	0.00169	0.00025157
106.10	0.00168	0.00029209
106.30	0.00169	0.00030862
106.60	0.00169	0.00044946
106.90	0.00169	0.00065584
107.10	0.00170	0.00096178
